country,Country name,,,,,,,,
iso3,ISO 3166-1 alpha-3 code,,,,,,,,
year,"Year of death (""2020-2021"" includes: average values of 2020 and 2021 for ""pop.e5"" and ""excess.mean"", person-years-weighed uncertainty for ""excess.low"" and ""excess.high"")",,,,,,,,
pop.e5,"Population (in 100,000)",,,,,,,,
excess.mean,"Excess deaths associated with COVID-19 pandemic from all-causes per 100,000 (mean)",,,,,,,,
excess.low,"Excess deaths associated with COVID-19 pandemic from all-causes per 100,000 (lower 95% confidence interval)",,,,,,,,
excess.high,"Excess deaths associated with COVID-19 pandemic from all-causes per 100,000 (higher 95% confidence interval)",,,,,,,,
,,,,,,,,,
Country,iso3,year,pop.e5,excess.mean,excess.low,excess.high,,,
Solomon Islands,SLB,2021,7.0,1,-56,60,,,
Solomon Islands,SLB,2020-2021,7.0,-4,-46,37,,,
Somalia,SOM,2020,158.9,81,-4,179,,,
Somalia,SOM,2021,163.6,138,48,229,,,
Somalia,SOM,2020-2021,161.3,110,47,175,,,
South Africa,ZAF,2020,593.1,92,83,100,,,
South Africa,ZAF,2021,600.4,307,297,316,,,
South Africa,ZAF,2020-2021,596.8,200,194,206,,,
South Sudan,SSD,2020,111.9,25,-39,88,,,
South Sudan,SSD,2021,113.8,56,-5,124,,,
South Sudan,SSD,2020-2021,112.9,41,-2,86,,,
Spain,ESP,2020,467.5,155,142,169,,,
Spain,ESP,2021,467.5,67,52,84,,,
Spain,ESP,2020-2021,467.5,111,101,121,,,
Sri Lanka,LKA,2020,214.1,-81,-96,-66,,,
Sri Lanka,LKA,2021,215.0,40,-26,110,,,
Sri Lanka,LKA,2020-2021,214.6,-21,-56,15,,,
Sudan,SDN,2020,438.5,32,-13,79,,,
Sudan,SDN,2021,449.1,53,7,101,,,
Sudan,SDN,2020-2021,443.8,43,11,75,,,
Suriname,SUR,2020,5.9,-49,-58,-39,,,
Suriname,SUR,2021,5.9,171,145,201,,,
Suriname,SUR,2020-2021,5.9,62,48,78,,,
Sweden,SWE,2020,101.0,84,75,92,,,
Sweden,SWE,2021,101.6,27,17,38,,,
Sweden,SWE,2020-2021,101.3,56,49,63,,,
Switzerland,CHE,2020,86.5,87,77,98,,,
Switzerland,CHE,2021,87.2,8,-4,21,,,
Switzerland,CHE,2020-2021,86.9,47,40,56,,,
Syrian Arab Republic,SYR,2020,175.0,9,-41,62,,,
Syrian Arab Republic,SYR,2021,182.8,31,-22,88,,,
Syrian Arab Republic,SYR,2020-2021,178.9,20,-17,56,,,
Tajikistan,TJK,2020,95.4,142,131,153,,,
Tajikistan,TJK,2021,97.5,-6,-60,51,,,
Tajikistan,TJK,2020-2021,96.4,67,41,97,,,
Thailand,THA,2020,698.0,-22,-34,-11,,,
Thailand,THA,2021,699.5,44,26,62,,,
Thailand,THA,2020-2021,698.8,11,1,21,,,
The United Kingdom,GBR,2020,678.9,126,112,140,,,
The United Kingdom,GBR,2021,682.1,93,78,109,,,
The United Kingdom,GBR,2020-2021,680.5,109,98,121,,,
Timor-Leste,TLS,2020,13.2,3,-41,53,,,
Timor-Leste,TLS,2021,13.4,48,-5,102,,,
Timor-Leste,TLS,2020-2021,13.3,26,-11,62,,,
Togo,TGO,2020,82.8,-63,-66,-60,,,
Togo,TGO,2021,84.8,-21,-25,-17,,,
Togo,TGO,2020-2021,83.8,-42,-44,-39,,,
Tonga,TON,2020,1.1,-22,-85,43,,,
Tonga,TON,2021,1.1,-13,-73,55,,,
Tonga,TON,2020-2021,1.1,-17,-61,28,,,
Trinidad and Tobago,TTO,2020,14.0,7,-53,65,,,
Trinidad and Tobago,TTO,2021,14.0,138,68,211,,,
Trinidad and Tobago,TTO,2020-2021,14.0,72,29,119,,,
Tunisia,TUN,2020,118.2,27,16,37,,,
Tunisia,TUN,2021,119.4,173,105,243,,,
Tunisia,TUN,2020-2021,118.8,100,66,135,,,
Turkey,TUR,2020,843.4,150,129,172,,,
Turkey,TUR,2021,850.4,162,141,187,,,
Turkey,TUR,2020-2021,846.9,156,140,175,,,
Turkmenistan,TKM,2020,60.3,13,-35,63,,,
Turkmenistan,TKM,2021,61.2,-2,-50,53,,,
Turkmenistan,TKM,2020-2021,60.7,5,-31,42,,,
Tuvalu,TUV,2020,0.1,-50,-212,124,,,
Tuvalu,TUV,2021,0.1,-42,-216,148,,,
Tuvalu,TUV,2020-2021,0.1,-46,-168,81,,,
Uganda,UGA,2020,457.4,6,-30,44,,,
Uganda,UGA,2021,471.2,38,-2,80,,,
Uganda,UGA,2020-2021,464.3,22,-5,51,,,
Ukraine,UKR,2020,437.3,104,85,122,,,
Ukraine,UKR,2021,434.7,352,331,373,,,
Ukraine,UKR,2020-2021,436.0,227,213,241,,,
United Arab Emirates,ARE,2020,98.9,9,-7,28,,,
United Arab Emirates,ARE,2021,99.9,14,-6,35,,,
United Arab Emirates,ARE,2020-2021,99.4,12,-2,26,,,
United Republic of Tanzania,TZA,2020,597.3,25,-18,67,,,
United Republic of Tanzania,TZA,2021,615.0,41,-7,88,,,
United Republic of Tanzania,TZA,2020-2021,606.2,33,1,66,,,
United States of America,USA,2020,3310.0,141,132,149,,,
United States of America,USA,2021,3329.2,140,129,151,,,
United States of America,USA,2020-2021,3319.6,140,134,147,,,
Uruguay,URY,2020,34.7,-65,-78,-51,,,
Uruguay,URY,2021,34.9,154,137,170,,,
Uruguay,URY,2020-2021,34.8,45,34,55,,,
Uzbekistan,UZB,2020,334.7,68,53,83,,,
Uzbekistan,UZB,2021,339.4,65,47,84,,,
Uzbekistan,UZB,2020-2021,337.0,67,54,79,,,
Vanuatu,VUT,2020,3.1,-24,-86,41,,,
Vanuatu,VUT,2021,3.1,-1,-62,64,,,
Vanuatu,VUT,2020-2021,3.1,-12,-56,32,,,
Venezuela (Bolivarian Republic of),VEN,2020,284.4,13,-40,67,,,
Venezuela (Bolivarian Republic of),VEN,2021,287.0,65,13,118,,,
Venezuela (Bolivarian Republic of),VEN,2020-2021,285.7,39,1,78,,,
Viet Nam,VNM,2020,973.4,-60,-61,-59,,,
Viet Nam,VNM,2021,981.7,53,-138,287,,,
Viet Nam,VNM,2020-2021,977.5,-3,-99,114,,,
Yemen,YEM,2020,298.3,48,0,103,,,
Yemen,YEM,2021,304.9,64,12,117,,,
Yemen,YEM,2020-2021,301.6,56,19,99,,,
Zambia,ZMB,2020,183.8,29,-23,82,,,
Zambia,ZMB,2021,189.2,97,39,152,,,
Zambia,ZMB,2020-2021,186.5,63,25,103,,,
Zimbabwe,ZWE,2020,148.6,10,-46,72,,,
Zimbabwe,ZWE,2021,150.9,114,53,182,,,
Zimbabwe,ZWE,2020-2021,149.8,62,18,109,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Technical notes for India: These estimates may not be regarded as the national statistics officially produced by India due to differences arising from the data and methods used by WHO. The information from the Civil Registration System in India for 2020 was made publicly available by the Registrar General of India on 3 May 2022 in a report at: https://crsorgi.gov.in/annual-report.html. The newly published information in the report is being carefully examined and will be taken into consideration in revisions of the estimates.,,,,,,,,,
